product_name,price,description,image_url,discount_percentage,categoryId,stockId
Spinach,30,"Spinach (Spinacia oleracea) is a leafy green vegetable that originated in Persia. It belongs to the amaranth family and is related to beets and quinoa. What's more, it's considered very healthy, as it's loaded with nutrients and antioxidants.",product (3).jpg,12,1,0
Capsicum,30,"Capsicum fruits of several varieties with commercial value are called by various European-language names in English, such as jalape�o, peperoncini, and peperoncito; many of these are usually sold pickled. Paprika (in English) refers to a powdered spice made of dried Capsicum of several sorts, though in Hungary, Germany, Sweden, Finland and some other countries it is the name of the fruit (or the vegetable) as well. Both whole and powdered chili are frequent ingredients in dishes prepared throughout the world, and characteristic of several cuisine styles, including Mexican, Sichuan (Szechuan) Chinese, Korean, Cajun and Creole, along with most South Asian and derived (e.g. Jamaican) curries.",product (2).jpg,15,1,0
Blueberries,30,"Blueberries are considered a superfood, and can help maintain healthy bones, reduce blood pressure, manage diabetes, and ward off heart disease.",product (5).jpg,10,2,0
Oranges,30,"An orange is a fruit of various citrus species in the family Rutaceae; it primarily refers to Citrus � sinensis, which is also called sweet orange, to distinguish it from the related Citrus � aurantium, referred to as bitter orange.",product (9).jpg,10,2,0
Burger,30,"A hamburger is a food consisting of fillings �usually a patty of ground meat, typically beef�placed inside a sliced bun or bread roll.",product (6).jpg,0,9,0
Guava,20,"Guava is a common tropical fruit cultivated in many tropical and subtropical regions. The common guava Psidium guajava (lemon guava, apple guava) is a small tree in the myrtle family (Myrtaceae), native to Mexico, Central America, the Caribbean and northern South America.",product (8).jpg,0,2,0
Watermelon,20,"Watermelon is a flowering plant species of the Cucurbitaceae family and the name of its edible fruit. A scrambling and trailing vine-like plant, it is a highly cultivated fruit worldwide, with more than 1,000 varieties.",product (10).jpg,0,2,0
Apple,20,"An apple is an edible fruit produced by an apple tree. Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today.",product (11).jpg,0,2,0
Mango,20,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated from the region between northwestern Myanmar, Bangladesh, and northeastern India.",product (12).jpg,0,2,0
Banana,20,"A banana is an elongated, edible fruit � botanically a berry � produced by several kinds of large herbaceous flowering plants in the genus Musa. In some countries, bananas used for cooking may be called 'plantains', distinguishing them from dessert bananas.",product (16).jpg,0,2,0
Fresh Vegetables,30,Order Food Online from Gopal Fresh Vegetable Store Samar Paly Lake Town and see it's menu for Home Delivery in Kolkata. Fastest delivery,product (1).jpg,0,1,0
Dates,80,Dates are basically tropical fruits that are grown on date palm trees. It's scientifically known as Phoenix Dactylifera and is one of the healthiest fruits,product (13).jpg,0,14,0
Cashew Nuts,100,"The cashew tree is a tropical evergreen tree that produces the cashew seed and the cashew apple accessory fruit. The tree can grow as tall as 14 metres, but the dwarf cultivars, growing up to 6 m, prove more profitable, with earlier maturity and greater yields.",product (14).jpg,0,14,0
Mutton,200,"Lamb, hogget, and mutton, generically sheep meat, are the meat of domestic sheep, Ovis aries. A sheep in its first year is a lamb and its meat is also lamb. The meat from sheep in their second year is hogget. Older sheep meat is mutton",product (15).jpg,5,3,0
KFC Chicken,150,"Click to see the latest KFC Menu & Offers today. Order KFC online for Delivery, Take Away and Dine-In or download our KFC App for easy ordering.",product (19).jpg,16,9,0
Orange Juice,50,"Juice is a drink made from the extraction or pressing of the natural liquid contained in fruit and vegetables. It can also refer to liquids that are flavored with concentrate or other biological food sources, such as meat or seafood, such as clam juice",product (20).jpg,15,10,0
Mixed Fruit Juice,50,"Juice is a drink made from the extraction or pressing of the natural liquid contained in fruit and vegetables. It can also refer to liquids that are flavored with concentrate or other biological food sources, such as meat or seafood, such as clam juice",product (18).jpg,15,20,0
